time,dy,piobs,robs,shadow,cpi_core,Def
2009.4Q,1.850863723,-0.108843627,0.026,-0.025435825,-0.435079114,-0.585268459
2010.1Q,1.593757935,-0.003138375,0.0245,-0.088221675,-0.239869499,-0.608817805
2010.2Q,1.231773163,-0.508486996,0.02325,-0.184604175,-0.239948888,-0.567619842
2010.3Q,1.489946629,-0.521370732,0.023333333,-0.321435,-0.282582796,-0.508855275
2010.4Q,-0.496391854,0.22345552,0.022416667,-0.348740825,-0.199535479,-0.520310144
2011.1Q,-1.93762222,-0.001638243,0.021916667,-0.266186675,-0.191891481,-0.459720904
2011.2Q,-0.536724802,0.075291486,0.016666667,-0.267325,-0.066600106,-0.527445724
2011.3Q,2.900384753,-0.104424083,0.0195,-0.320913825,0.04175715,-0.49181914
2011.4Q,0.47263794,-0.141591748,0.019666667,-0.350933175,-0.041771104,-0.370769508
2012.1Q,1.320080043,0.246353515,0.02075,-0.398679175,0.025113011,-0.302035524
2012.2Q,-0.013073959,-0.052251438,0.019583333,-0.4898925,-0.008337502,-0.267955406
2012.3Q,-0.168297105,-0.284611595,0.02125,-0.572425,-0.058479559,-0.193906789
2012.4Q,0.324185533,-0.024028279,0.021083333,-0.635483325,-0.025096204,-0.187467402
2013.1Q,1.519727728,0.071870615,0.020666667,-0.705665825,-0.083808325,-0.249863268
2013.2Q,1.048021022,0.225056559,0.01825,-0.587381675,0,-0.162162731
2013.3Q,0.732756661,0.446510024,0.018166667,-0.524569175,0.175029886,-0.083565537
2013.4Q,0.255547345,0.342837768,0.018083333,-0.547274175,0.274682304,-0.080775515
2014.1Q,1.760596259,0.290038582,0.0185,-0.549973325,0.325275648,0.027886227
2014.2Q,-1.676118263,0.378606904,0.016666667,-0.556025,0.820283558,0.563026477
2014.3Q,-0.401170422,0.336819028,0.01675,-0.556391675,0.776840916,0.497253962
2014.4Q,0.892064431,-0.103532953,0.016,-0.608625,0.669755834,0.586380826
2015.1Q,1.650433584,-0.138603235,0.018333333,-0.6531,0.524781486,0.822442588
2015.2Q,-0.109010986,0.131194725,0.016833333,-0.612641675,0.024197453,0
2015.3Q,0.628125503,-0.090674481,0.018583333,-0.602441675,-0.024166266,0
2015.4Q,-0.211746807,-0.010728863,0.019083333,-0.63565,0,0
2016.1Q,0.894086989,-0.115917787,0.008666667,-0.766441675,0,0
2016.2Q,0.355256033,-0.187746176,-0.012583333,-0.871616675,0,0
